venue,signal_type,aliases
# ORIGIN-ADJACENT prime residential districts (Bucket 3 of the geography taxonomy). Matched by
# NAME against the billing/shipping address, country-guarded, exactly like hnw_areas.csv.
#
# GATED, off by default (in scoring.combine.ORIGIN_PROXY_SIGNALS). THE GENERAL REVIEW RULE: a
# prime district goes HERE (not in the on-by-default hnw_areas.csv) when its resident population,
# as it appears in a typical UK retailer's book, skews to a single national origin — so a
# district-level match, though genuinely a property-wealth tell, would in effect sort by origin
# (UK GDPR Recital 71, by effect not label). These districts are ultra-prime and their residents
# internationally mixed on the ground, but the effect test in a UK book isn't as clean as
# Monaco's. A tenant with a documented clientele from the region opts in (include_origin=True);
# everyone else's default stays clean. Sourced from residential property-market data, never a tax
# list. Reason text stays factual. See docs/geography-signal-taxonomy.md.
#
# --- UAE ---
Palm Jumeirah,UAE,PALM JUMEIRAH
Emirates Hills,UAE,EMIRATES HILLS
Jumeirah,UAE,JUMEIRAH
Downtown Dubai,UAE,BURJ KHALIFA;DOWNTOWN DUBAI
Dubai Marina,UAE,DUBAI MARINA
Sheikh Zayed Road,UAE,SHEIKH ZAYED ROAD
Jumeirah Bay,UAE,JUMEIRAH BAY
Saadiyat Island,UAE,SAADIYAT
Al Maryah Island,UAE,AL MARYAH
Al Bateen,UAE,AL BATEEN
# --- Qatar ---
The Pearl,Qatar,THE PEARL;PEARL QATAR
Lusail,Qatar,LUSAIL
# --- Saudi Arabia ---
Diplomatic Quarter,Saudi Arabia,DIPLOMATIC QUARTER
Al Nakheel,Saudi Arabia,AL NAKHEEL
Al Olaya,Saudi Arabia,AL OLAYA
Hittin,Saudi Arabia,HITTIN;HITTEEN
Al Malqa,Saudi Arabia,AL MALQA
King Abdullah Financial District,Saudi Arabia,KAFD;KING ABDULLAH FINANCIAL DISTRICT
Al Yasmin,Saudi Arabia,AL YASMIN
Al Muhammadiyah,Saudi Arabia,AL MUHAMMADIYAH
Al Shati,Saudi Arabia,AL SHATI;ASH SHATI
Obhur,Saudi Arabia,OBHUR;ABHUR
# --- Bahrain ---
Amwaj Islands,Bahrain,AMWAJ
# --- Lebanon (moved from hnw_areas.csv 2026-07 — same test as the Gulf districts) ---
Achrafieh,Lebanon,ACHRAFIEH;ASHRAFIEH
Beirut Central District,Lebanon,SOLIDERE;BEIRUT CENTRAL DISTRICT
Saifi Village,Lebanon,SAIFI
Rabieh,Lebanon,RABIEH
Yarze,Lebanon,YARZE
Gemmayzeh,Lebanon,GEMMAYZEH
Ramlet al-Baida,Lebanon,RAMLET AL BAIDA
Faqra,Lebanon,FAQRA
